Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,MACD,MACD_signal,MACD_diff,bollinger_mavg,bollinger_hband,bollinger_lband
1/26/2000,141,141.546875,140.09375,140.8125,91.26497650146484,5158100,143.9945313,44.17510857999913,-0.036687832,0.544179003,-0.580866835,143.9945313,149.61997632788083,138.36908617211915
1/27/2000,141.84375,142.21875,138.125,140.25,90.90040588378906,10922700,143.6664063,43.06298779799832,-0.281308605,0.3790814813961567,-0.660390087,143.6664063,149.36123561908593,137.97157688091406
1/28/2000,139.4375,140.0625,135.53125,135.875,88.06480407714844,11916200,143.128125,35.56367915013547,-0.818760111,0.13951316297803998,-0.958273274,143.128125,149.58134912151746,136.67490087848256
1/31/2000,135.8125,139.671875,135,139.5625,90.45484161376953,10768700,142.7625,44.35898188450358,-0.936350206,-0.075659511,-0.860690695,142.7625,149.1534543008094,136.3715456991906
2/1/2000,139.75,141.6875,138.53125,140.9375,91.34600067138672,8419900,142.5375,47.25029701107198,-0.908121931,-0.242151995,-0.665969936,142.5375,148.8523077464824,136.22269225351758
2/2/2000,141.28125,142.25,140.375,141.0625,91.42699432373047,6205900,142.603125,47.51729535,-0.865685283,-0.366858653,-0.498826631,142.603125,148.82732487327965,136.37892512672036
2/3/2000,140.875,143.25,140,143.1875,92.80424499511719,7997500,142.7625,51.96822555,-0.653056168,-0.424098156,-0.228958013,142.7625,148.87413720904917,136.6508627909508
2/4/2000,143.1875,144,142.125,142.59375,92.41944122314453,4925400,143.0046875,50.67504812078165,-0.526388843,-0.444556293,-0.08183255,143.0046875,148.67021080300646,137.33916419699352
2/7/2000,142.5625,142.78125,141.4375,142.375,92.27762603759766,5845800,142.8359375,50.17962444411775,-0.43859947,-0.443364929,0.004765458,142.8359375,148.36370388181365,137.30817111818635
2/8/2000,143.96875,144.5625,143.625,144.3125,93.53344727,4936400,142.7390625,54.42921806706255,-0.210261933,-0.39674433,0.1864823961698916,142.7390625,148.08916015536192,137.38896484463805
2/9/2000,144.46875,144.46875,141.265625,141.28125,91.56878662109375,8511500,142.578125,47.589801912131534,-0.270777972,-0.371551058,0.10077308582984745,142.578125,147.90023028715228,137.25601971284772
2/10/2000,141.625,142.5625,140.875,141.5625,91.75106811523438,6690600,142.503125,48.23969101267611,-0.292669137,-0.355774674,0.063105537,142.503125,147.8380738926825,137.16817610731752
2/11/2000,141.84375,141.9375,138.03125,138.6875,89.88769531,9849800,142.1875,42.44559040016319,-0.535829803,-0.3917857,-0.144044103,142.1875,147.63985041060587,136.73514958939413
2/14/2000,139.78125,139.78125,138.3125,139.5,90.41426849365234,8528800,141.8140625,44.47531819,-0.655419159,-0.444512391,-0.210906767,141.8140625,146.91727361378992,136.7108513862101
2/15/2000,139.25,141.21875,137.796875,141.078125,91.43714141845703,11078300,141.5773438,48.289821076961374,-0.615755045,-0.478760922,-0.136994123,141.5773438,146.3448840925669,136.80980340743312
2/16/2000,140.375,140.9375,138.796875,139,90.09024047851562,8845400,141.1773438,44.002876329398326,-0.743438375,-0.531696413,-0.211741962,141.1773438,145.36505683926515,136.98963066073486
